"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-24 18:30:00",118,1018.369,20.79,26.76,8.29,255.9,13.34,21.51,28.64
"2016-06-24 19:00:00",119,1018.677,20.1,27.82,7.985,268.7,13.18,20.82,29.95
"2016-06-24 19:30:00",120,1019.185,19.36,30.35,5.696,254.4,12.88,19.95,32.89
"2016-06-24 20:00:00",121,1019.461,19.13,31.71,4.695,247.8,11.45,19.65,34.56
"2016-06-24 20:30:00",122,1019.751,19.04,32.95,4.073,239.4,8.82,19.35,36.31
"2016-06-24 21:00:00",123,1020.087,18.95,33.22,4.735,245.7,7.288,19.33,36.43
"2016-06-24 21:30:00",124,1020.366,18.77,33.8,4.486,246.3,7.979,19.13,37.16
"2016-06-24 22:00:00",125,1020.427,18.54,35.67,5.091,246.2,9,18.98,39.3
"2016-06-24 22:30:00",126,1020.456,18,38.23,4.917,238.7,8.49,18.37,42.49
"2016-06-24 23:00:00",127,1020.689,16.74,41.17,3.874,237.2,14.34,17.02,46.49
"2016-06-24 23:30:00",128,1021.021,15.38,45.13,2.444,238.6,8.06,15.31,52.33
"2016-06-25 00:00:00",129,1021.216,14.54,47.38,3.735,237,7.116,14.73,54.43
"2016-06-25 00:30:00",130,1021.549,13.8,49.48,4.2,229.4,6.689,14.1,56.7
"2016-06-25 01:00:00",131,1021.557,13.93,48.63,3.865,231.1,7.431,14.43,55.13
"2016-06-25 01:30:00",132,1021.649,14.2,47.62,3.471,235.8,7.653,14.57,54.21
"2016-06-25 02:00:00",133,1021.932,13.84,49.01,2.438,230.5,24.79,13.91,57.07
"2016-06-25 02:30:00",134,1022.311,13.45,49.44,2.082,188,33.21,13.21,59.65
"2016-06-25 03:00:00",135,1022.324,13.18,50.45,3.471,232.9,12.07,13.03,60.15
"2016-06-25 03:30:00",136,1022.421,12.63,51.64,2.897,215.7,32.86,12.9,59.95
"2016-06-25 04:00:00",137,1022.626,12.94,50.19,2.101,176.3,35.81,12.8,60.58
"2016-06-25 04:30:00",138,1022.727,12.84,53.22,2.335,232.9,20.03,12.09,64.35
"2016-06-25 05:00:00",139,1022.935,13.5,55,2.879,238.1,6.97,12.63,63.15
"2016-06-25 05:30:00",140,1023.2,15.63,50.47,1.944,247.8,17.96,14.49,56.1
"2016-06-25 06:00:00",141,1023.197,18.07,45.47,0.741,250.2,53.26,15.5,53.63
"2016-06-25 06:30:00",142,1023.203,16.95,43.92,1.377,100.2,22.94,15.99,54.27
"2016-06-25 07:00:00",143,1023.456,16.25,46.83,1.943,110.1,17.27,15.93,56.43
"2016-06-25 07:30:00",144,1023.47,17.42,43.33,1.624,90.9,32.84,16.94,52.29
"2016-06-25 08:00:00",145,1023.338,18.02,41.54,1.972,90,35.7,17.9,49.72
"2016-06-25 08:30:00",146,1023.037,18.82,39.53,2.738,92.8,29.32,18.86,46.94
"2016-06-25 09:00:00",147,1022.748,19.43,36.55,3.05,95.6,28.1,19.72,42.94
"2016-06-25 09:30:00",148,1022.51,20.06,34.56,2.933,59.81,40.25,20.32,40.6
"2016-06-25 10:00:00",149,1022.32,20.99,33.15,2.381,76.41,63.99,20.95,38.99
"2016-06-25 10:30:00",150,1021.937,21.63,31.07,3.065,77.04,41.54,21.86,36.57
"2016-06-25 11:00:00",151,1021.721,22.21,29.22,2.507,61.71,52.69,22.32,34.37
"2016-06-25 11:30:00",152,1021.398,23.06,27.36,2.395,44.12,56.09,23.08,32.07
"2016-06-25 12:00:00",153,1021.086,23.66,25.78,2.751,70,52.7,23.91,30
